data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-04-13,202516,66.0,16,249,4,0.00040832578,2.5422192,0,2,230440020251620200,2025-04-22,,0.59961855,2596157,24.76088,93.0828,1,0,0,82.55014,68.6912,26.97484,29.65452,4.0,,,,,273270
2025-04-06,202515,67.0,28,171,15,4.8348755e-07,2.5807376,0,2,230440020251520200,2025-04-22,,0.4928775,2596157,24.8629,92.5547,1,0,0,83.7516714285714,71.5438571428571,26.8125285714286,29.1577571428571,10.0,,,,,273270
2025-03-30,202514,111.0,85,174,72,0.021072665,4.2755504,0,2,230440020251420200,2025-04-22,,0.7745521,2596157,24.6738571428571,92.5006714285714,1,0,0,84.3811857142857,72.2356857142857,26.5518714285714,28.8403714285714,43.0,,,,,273270
2025-03-23,202513,155.0,136,190,127,0.90556467,5.970363,0,2,230440020251320200,2025-04-22,,1.1675657,2596157,24.5622285714286,92.3172428571429,1,0,0,83.7562428571429,72.2318857142857,26.5742571428571,28.9718,52.0,,,,,273270
2025-03-16,202512,145.0,133,170,127,0.9708952,5.5851784,0,2,230440020251220200,2025-04-22,,1.2656246,2596157,24.2044428571429,94.6275285714286,1,0,0,85.3958571428571,71.3622142857143,26.1368714285714,28.6982,30.0,,,,,273270
2025-03-09,202511,150.0,143,168,140,0.99656683,5.777771,0,2,230440020251120200,2025-04-22,,1.4038417,2596157,24.3842714285714,94.3493857142857,1,0,0,86.8174285714286,75.5446428571429,25.9903,28.2812142857143,32.0,,,,,273270
2025-03-02,202510,96.0,90,106,89,0.2226616,3.6977732,0,2,230440020251020200,2025-04-22,,0.89849484,2596157,24.7183857142857,92.0000857142857,1,0,0,82.542,68.2877714285714,26.6763285714286,29.2628428571429,17.0,,,,,273270
2025-02-23,202509,106.0,102,115,102,0.6208733,4.082958,0,2,230440020250920200,2025-04-22,,1.0435659,2596157,24.2273714285714,93.9962714285714,1,0,0,86.9331285714286,77.4180857142857,25.9801571428571,27.9032714285714,20.0,,,,,273270
2025-02-16,202508,111.0,109,118,109,0.9348966,4.2755504,0,2,230440020250820200,2025-04-22,,1.2384223,2596157,24.6047857142857,92.4888285714286,1,0,0,83.8198714285714,71.6880142857143,26.5140428571429,28.9231428571429,9.0,,,,,273270
2025-02-09,202507,111.0,110,116,110,0.97742397,4.2755504,0,2,230440020250720200,2025-04-22,,1.3342547,2596157,25.0448,89.3682714285714,1,0,0,81.0408,68.3595714285714,26.8757428571429,29.2717428571429,7.0,,,,,273270
